#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
02968811   2455357.8860         13.143  0.003   R  TNG
02968811   2455328.9610         13.146  0.004   R  TNG
02968811   2455103.7700		12.424  0.006   I  SRO
02968811   2455103.7809 	12.439  0.006   I  SRO
02968811   2455104.7544 	12.408  0.005   I  SRO
02968811   2455104.7653 	12.420  0.005   I  SRO
02968811   2455105.7392 	12.401  0.006   I  SRO
02968811   2455105.7500 	12.426  0.006   I  SRO
02968811   2455106.7685 	12.414  0.006   I  SRO
02968811   2455106.7793 	12.421  0.006   I  SRO
02968811   2455109.7612 	12.503  0.008   I  SRO
02968811   2455109.7720 	12.503  0.012   I  SRO
02968811   2455137.6534 	12.477  0.006   I  SRO
02968811   2455137.6643 	12.481  0.006   I  SRO
02968811   2455139.6566 	12.516  0.007   I  SRO
02968811   2455139.6675 	12.520  0.007   I  SRO
02968811   2455248.0022 	12.551  0.010   I  SRO
02968811   2455253.9769 	12.404  0.007   I  SRO
02968811   2455253.9991 	12.417  0.007   I  SRO
02968811   2455257.9718 	12.511  0.011   I  SRO
02968811   2455257.9895 	12.482  0.009   I  SRO
02968811   2455258.9710 	14.625  0.006   I  SRO
02968811   2455258.9888 	12.520  0.006   I  SRO
02968811   2455261.9710 	16.669  0.002   I  SRO
02968811   2455261.9887 	12.581  0.007   I  SRO
02968811   2455264.9695 	12.522  0.005   I  SRO
02968811   2455264.9871 	12.521  0.006   I  SRO
02968811   2455265.9656 	12.460  0.006   I  SRO
02968811   2455265.9831 	12.469  0.006   I  SRO
02968811   2455269.9620 	12.450  0.006   I  SRO
02968811   2455269.9796 	12.458  0.005   I  SRO
02968811   2455271.9591 	12.488  0.006   I  SRO
02968811   2455271.9767 	12.497  0.005   I  SRO
02968811   2455272.9582 	12.512  0.005   I  SRO
02968811   2455272.9758 	12.505  0.005   I  SRO
02968811   2455273.9619 	12.513  0.005   I  SRO
02968811   2455273.9795 	12.520  0.005   I  SRO
02968811   2455274.9588 	12.548  0.005   I  SRO
02968811   2455274.9764 	12.548  0.005   I  SRO
02968811   2455275.9582 	12.549  0.005   I  SRO
02968811   2455275.9758 	12.565  0.006   I  SRO
02968811   2455277.9536 	12.571  0.013   I  SRO
02968811   2455277.9712 	12.571  0.017   I  SRO
02968811   2455278.3742         12.655  0.004   I  LOT
02968811   2455278.3383         12.657  0.004   I  LOT
02968811   2455279.3423         12.567  0.004   I  LOT
02968811   2455385.3120         12.526  0.003   I  LOT
02968811   2455408.2693         12.635  0.002   I  LOT
02968811   2455271.3405         12.554  0.006   I  SLT
02968811   2455272.3468         12.565  0.007   I  SLT
02968811   2455298.3172         12.482  0.005   I  SLT
02968811   2455298.3620         12.496  0.005   I  SLT
02968811   2455298.2726         12.489  0.007   I  SLT
02968811   2455299.3298         12.499  0.011   I  SLT
02968811   2455299.2873         12.501  0.009   I  SLT
02968811   2455300.2859         12.515  0.008   I  SLT
02968811   2455312.2095         12.427  0.004   I  SLT
02968811   2455317.1861         12.520  0.004   I  SLT
02968811   2455330.2288         12.539  0.004   I  SLT
02968811   2455333.3480         12.603  0.004   I  SLT
02968811   2455388.3426         12.465  0.004   I  SLT
02968811   2455390.2631         12.520  0.005   I  SLT
02968811   2455392.3107         12.565  0.005   I  SLT
02968811   2455393.3126         12.592  0.006   I  SLT
02968811   2455416.2851         12.479  0.007   I  SLT
02968811   2455422.2540         12.568  0.005   I  SLT
02968811   2455423.2449         12.598  0.005   I  SLT
02968811   2455425.2504         12.664  0.006   I  SLT
02968811   2455428.2316         12.562  0.005   I  SLT
02968811   2455429.2295         12.504  0.007   I  SLT
02968811   2455283.0079         12.427  0.008   I  TNG
02968811   2455285.0059         12.491  0.010   I  TNG
02968811   2455286.0036         12.503  0.008   I  TNG
02968811   2455287.0039         12.513  0.009   I  TNG
02968811   2455289.0012         12.546  0.010   I  TNG
02968811   2455290.0016         12.580  0.008   I  TNG
02968811   2455291.0000         12.600  0.009   I  TNG
02968811   2455291.9997         12.599  0.008   I  TNG
02968811   2455292.9989         12.597  0.009   I  TNG
02968811   2455293.9967         12.566  0.010   I  TNG
02968811   2455294.9970         12.545  0.008   I  TNG
02968811   2455295.9861         12.471  0.007   I  TNG
02968811   2455296.9943         12.451  0.007   I  TNG
02968811   2455298.9950         12.478  0.007   I  TNG
02968811   2455299.9926         12.482  0.006   I  TNG
02968811   2455300.9923         12.488  0.007   I  TNG
02968811   2455301.9905         12.523  0.007   I  TNG
02968811   2455302.9898         12.526  0.012   I  TNG
02968811   2455303.9885         12.540  0.007   I  TNG
02968811   2455304.9882         12.520  0.077   I  TNG
