#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
   193760396 28.709002  0.250367  50740.3731528 14.232  0.029  A 13.987  0.037  A 13.958  0.051  A
   193772972 28.709015  0.250359  50740.3749528 14.274  0.026  A 13.949  0.037  A 13.837  0.044  A
   193773078 28.709006  0.250383  50740.3752528 14.290  0.026  A 13.971  0.034  A 13.864  0.049  A
   193776019 28.708984  0.250385  50740.3769528 14.294  0.026  A 13.972  0.033  A 13.979  0.050  A
   193776120 28.709006  0.250380  50740.3773528 14.335  0.026  A 13.992  0.036  A 13.886  0.050  A
    13000540 28.709007  0.250373  50741.2824518 14.416  0.028  A 14.211  0.045  A 14.243  0.070  A
    13000646 28.708991  0.250380  50741.2827518 14.448  0.032  A 14.290  0.048  A 14.105  0.058  A
    13003665 28.709004  0.250355  50741.2844518 14.422  0.029  A 14.242  0.041  A 14.228  0.067  A
    13003761 28.708997  0.250395  50741.2847518 14.416  0.032  A 14.192  0.046  A 14.157  0.066  A
    13006857 28.709001  0.250403  50741.2865518 14.448  0.032  A 14.177  0.043  A 14.076  0.058  A
    13006954 28.708984  0.250386  50741.2868518 14.364  0.031  A 14.150  0.043  A 14.300  0.074  A
    13021777 28.709010  0.250373  50741.3683516 14.062  0.027  A 13.967  0.039  A 13.846  0.053  A
    13021863 28.709023  0.250376  50741.3687516 14.100  0.027  A 13.981  0.036  A 13.981  0.058  A
    13024922 28.709017  0.250386  50741.3704516 14.082  0.029  A 13.934  0.036  A 14.006  0.060  A
    13025027 28.708993  0.250387  50741.3707516 14.047  0.027  A 13.978  0.035  A 13.849  0.056  A
    13027941 28.709005  0.250403  50741.3724516 14.056  0.030  A 14.020  0.038  A 13.906  0.055  A
    13028033 28.708998  0.250357  50741.3728516 14.051  0.027  A 13.941  0.039  A 14.019  0.056  A
    13040346 28.708977  0.250339  50741.4498514 14.077  0.030  A 13.963  0.043  A 13.806  0.061  A
    13040424 28.708956  0.250384  50741.4502514 14.060  0.029  A 13.844  0.041  A 13.858  0.065  A
    13043334 28.708996  0.250380  50741.4519514 14.105  0.025  A 13.960  0.043  A 13.848  0.064  A
    13043419 28.709015  0.250378  50741.4522514 14.130  0.026  A 13.909  0.043  A 13.799  0.061  A
    13046225 28.709024  0.250363  50741.4540514 14.097  0.028  A 13.978  0.045  A 13.970  0.067  A
    13046300 28.708998  0.250351  50741.4543514 14.148  0.029  A 13.954  0.045  A 13.993  0.072  A
    17221447 28.708965  0.250370  50755.2889594 14.542  0.029  A 14.383  0.051  A 14.115  0.074  A
    17221554 28.709008  0.250385  50755.2892594 14.507  0.034  A 14.279  0.044  A 14.244  0.080  A
    17224523 28.708997  0.250369  50755.2910594 14.463  0.034  A 14.267  0.047  A 14.107  0.072  A
    17224619 28.709002  0.250353  50755.2913593 14.494  0.032  A 14.221  0.043  A 14.085  0.075  A
    17227516 28.709015  0.250397  50755.2930593 14.497  0.032  A 14.279  0.047  A 14.151  0.070  A
    17227620 28.708996  0.250379  50755.2933593 14.408  0.030  A 14.278  0.042  A 14.182  0.074  A
    17239688 28.709015  0.250370  50755.3753572 14.059  0.031  A 13.929  0.052  A 13.932  0.081  A
    17239775 28.708982  0.250380  50755.3756571 14.085  0.031  A 13.953  0.051  A 13.887  0.070  A
    17242591 28.708990  0.250393  50755.3773571 14.040  0.032  A 14.005  0.053  A 13.982  0.075  A
    17242678 28.708973  0.250381  50755.3776571 13.984  0.029  A 14.005  0.051  A 13.725  0.068  A
    17245519 28.709021  0.250380  50755.3794570 14.080  0.030  A 13.950  0.051  A 13.887  0.068  A
    17245622 28.708977  0.250416  50755.3797570 14.082  0.030  A 13.951  0.051  A 13.898  0.071  A
    16557665 28.709002  0.250382  50760.1266166 14.242  0.030  A 13.995  0.045  A 13.877  0.054  A
    16557761 28.708982  0.250417  50760.1270166 14.233  0.032  A 13.941  0.038  A 13.964  0.068  A
    16560682 28.708980  0.250414  50760.1287165 14.239  0.031  A 13.965  0.043  A 13.915  0.061  A
